source_id,l,b,ra,dec,parallax,x_kpc,y_kpc,z_kpc,radial_velocity,radius_val,j_ks_mag,ks_mag_abs
6055297682807368320,303.31602673730544,1.122723411512381,193.6707723469393,-61.746606311604076,0.5863777993659424,-0.03,-1.42,0.94,,4.291016,0.16,0.02
5254142344850035200,287.4650345573345,-1.8925970725070032,159.8217161052234,-60.732692511131624,0.39086841187920973,0.08,-2.44,0.77,,3.0782895,0.11,0.22
5831344137969921152,325.62640375932284,-7.296743255372688,244.3751478022739,-60.732329874366734,0.41106995727715495,0.17,-1.36,2.01,,3.1174777,0.13,0.29
5337334422595984640,292.3635516281408,-0.7591455848788965,170.06624114826778,-61.74575031597374,0.45905744282515615,0.03,-2.01,0.83,,3.216386,0.16,0.24
5338189155459336064,289.15387881253275,-1.0169021200941943,163.7124323541745,-60.73119723624157,0.23830455678682416,0.07,-3.96,1.38,,3.5142817,0.15,0.09
5291514405777867136,272.51389982626023,-14.036859254785552,121.49220591593466,-58.777977198904324,0.5276743897520972,0.46,-1.84,0.08,,,0.16,0.09
5805933977535665664,318.69019090428844,-17.285492446156226,252.05962507551143,-72.42870417724288,1.970047555546682,0.1,-0.32,0.38,,4.0043597,0.2,0.15
5808190347198117632,321.70605946482095,-16.04004893387584,254.2076801195569,-69.36161484314648,1.0459891301398303,0.16,-0.57,0.75,,3.674808,0.14,0.11
5928970325176790656,331.31606361933416,-4.3847784411885575,247.85484775657778,-54.64316421206053,0.3145015774066088,0.12,-1.52,2.79,,3.5130107,0.19,0.03
5931790435132925184,329.6619175718939,-2.711238654950692,243.79186239552905,-54.64274763877509,0.6127105086948388,0.04,-0.82,1.41,,3.2566853,0.1,0.24
5847834956952750976,311.2850781057479,-5.629193839096336,214.6478965914461,-67.07678083990186,1.2017052673060065,0.06,-0.62,0.55,,3.5304704,0.16,0.11
6054954325973107840,300.30732860534636,1.0139542584849603,187.309510053098,-61.744613148012746,0.29653054290124414,-0.05,-2.91,1.7,,3.6621976,0.17,0.21
5350483237302856576,287.5604599177177,0.3740428392041907,162.10551544450234,-58.77697208918275,0.4472651054511286,-0.01,-2.13,0.67,,3.4109793,0.17,0.15
5335936492306981376,293.1972399832401,0.6026138809866174,172.62779200180964,-60.730439089754526,0.3966468225298654,-0.02,-2.32,0.99,,,0.1,0.01
6053467648835215872,300.4649717746887,-1.2579908091868988,187.22158261912344,-64.02166799598263,0.3781700211436645,0.05,-2.28,1.34,,3.532367,0.12,0.05
6053687963445915392,299.582302853922,-1.349241940435803,185.19620237339737,-64.02145420255866,0.3921624044228259,0.05,-2.22,1.26,,3.0932732,0.18,0.06
6055164087834670976,301.78913803694786,0.00827129516540769,190.3552596572516,-62.84125032275435,0.5910890433303969,0.0,-1.44,0.89,,3.5973997,0.13,0.11
6629961764380755712,330.77698163787386,-21.35383202550812,276.11566531066944,-64.02062528604905,0.8016873414349365,0.22,-0.57,1.09,,3.3419666,0.12,0.27
6057202758520469376,304.0816260873586,4.075734594221092,195.07214909817444,-58.7762564019289,0.5717650098512792,-0.1,-1.44,0.98,,,0.1,0.04
5799854636005689984,312.5697320355917,-8.60624486166037,220.8609489512426,-69.35479673049103,0.273092185133255,0.4,-2.67,2.48,,3.426187,0.12,0.07
5334546336004431744,296.6061684957851,-0.6572732204687586,178.8924411587016,-62.84084008485229,0.23526150798005488,0.04,-3.8,1.9,,3.7955096,0.15,0.26
