source_id,l,b,ra,dec,parallax,x_kpc,y_kpc,z_kpc,radial_velocity,radius_val,g_mag_abs_index,g_min_ks_index,j_ks_mag,m_ks
2096533795298529408,65.88785722554682,16.89440879805553,281.3404097769732,36.567265771702026,2.4662847662689202,0.11,0.35,0.17,,,-11.0,0.0,-0.01,6.99
487835790078011392,139.4156301066868,5.401928072461238,51.64526056659391,63.19506076936338,3.486751220972156,0.02,0.19,-0.22,3.3686373297662424,13.849967,-3.0,19.0,0.52,5.03
4593800438875904128,49.41067129066404,27.07694892221722,264.10290246172434,25.616256278512974,4.075560316416001,0.08,0.17,0.16,6.139540161247119,14.063694,0.0,23.0,0.72,4.63
6103597957289088384,319.4486698881129,17.491028683541295,214.47099689789945,-42.59127236227354,3.7491906574229175,-0.05,-0.17,0.2,,,-2.0,0.0,0.02,7.0
6022803300284701696,342.15854361553676,11.690857782745958,242.50247587802355,-35.64287981461816,14.63442522722823,0.0,-0.02,0.07,-53.012668876725044,2.2425308,28.0,13.0,0.38,5.65
123185851098826880,154.59193204226239,-23.892255924556355,46.716494718429004,30.526838305679174,13.437833537687318,-0.01,0.03,-0.07,,1.5388161,26.0,7.0,0.17,6.3
2162964329341318656,84.97733655600675,-0.282960706783309,313.47370954903187,44.38640742625269,8.90151179266834,0.0,0.11,0.01,,4.697059,17.0,17.0,0.45,5.23
2195298801651768704,96.98614263000873,12.675455177084338,308.4842866018016,61.74344167802301,3.7048475899577564,0.06,0.26,-0.03,,,-2.0,2.0,0.02,6.75
2428706669045383808,89.0216436542988,-69.40815844619219,1.380217095289307,-9.61778432615478,20.04439932564816,-0.05,0.02,0.0,0.4439482103851855,1.3548838,35.0,9.0,0.26,6.01
5942647283393791232,338.2243516360056,-0.7865273367305677,250.9348522655311,-47.10577723116565,3.149534647990404,0.0,-0.12,0.29,,,-6.0,-1.0,-0.04,7.07
6678416966935433856,0.8432500172964625,-39.45922390468267,312.9206583152154,-40.90605270866963,5.248894687923284,0.0,0.0,0.19,-31.000018779806616,9.443972,6.0,20.0,0.64,4.96
1793377411355966592,76.12721516867423,-23.448735330155355,326.62001647578666,22.174453257660467,3.477553241195668,-0.11,0.26,0.07,,5.603501,-3.0,5.0,0.09,6.45
5538573431596682496,252.94920797163084,-6.242331998594949,117.20472938713777,-38.204255940344844,23.495668775044884,0.0,-0.04,-0.01,-6.594995164502233,1.2365984,38.0,11.0,0.3,5.9
5910626446774318592,330.23169162707524,-15.47556237700383,263.7629766917846,-62.11108703566479,4.594780558716777,0.03,-0.1,0.19,,,3.0,5.0,0.11,6.47
5441910416588891904,273.76718519098154,16.13517637564737,156.23727607403487,-38.30329716261702,4.905018798996795,-0.06,-0.2,0.01,,,4.0,1.0,0.03,6.85
6500379714839152640,333.4776166409732,-57.23193834371847,345.6848826673511,-52.965332635238404,5.492666766506407,0.07,-0.04,0.16,-21.485724764065395,8.590972,7.0,19.0,0.6,5.06
3253804830461648640,191.51633638138424,-36.49273280750618,61.31689126953432,-0.5693070002778845,10.432012876399858,0.01,-0.02,-0.09,-17.585269749593618,2.5824199,20.0,10.0,0.27,5.99
599008372831144448,216.9725670240437,24.643615368764472,126.68171158922448,7.650643990770576,4.625609244834409,-0.05,-0.12,-0.17,,,3.0,0.0,0.02,6.92
900609325772854400,177.83631004806838,24.307523955346696,112.55708718919547,40.846032920701006,3.7414589560756006,0.0,0.01,-0.27,,,-2.0,0.0,-0.03,6.93
6794663207443285888,15.366383135197234,-37.75358666657636,312.9111713395242,-29.442438188474224,17.19762801409557,-0.01,0.01,0.06,35.14782153253118,1.616771,31.0,11.0,0.33,5.81
2076617550907389568,74.60358201159552,8.463562176633507,295.734442194996,40.721755876163975,4.511638916741499,0.03,0.21,0.06,,,2.0,1.0,-0.06,6.81
